Frame,Predicted Offset,Forward Speed,Turn Speed,
87,0.24356019496917725,0.1,-0.121780097,[ 0.1       -0.1217801]
88,0.2282300889492035,0.1,-0.114115044,[ 0.1        -0.11411504]
89,0.21884900331497192,0.1,-0.109424502,[ 0.1       -0.1094245]
90,0.20319324731826782,0.1,-0.101596624,[ 0.1        -0.10159662]
91,0.18117062747478485,0.1,-0.090585314,[ 0.1        -0.09058531]
92,0.18117062747478485,0.1,-0.090585314,[ 0.1        -0.09058531]
93,0.17756624519824982,0.1,-0.088783123,[ 0.1        -0.08878312]
94,0.16537544131278992,0.1,-0.082687721,[ 0.1        -0.08268772]
95,0.16537544131278992,0.1,-0.082687721,[ 0.1        -0.08268772]
96,0.1564481258392334,0.1,-0.078224063,[ 0.1        -0.07822406]
97,0.15510866045951843,0.1,-0.07755433,[ 0.1        -0.07755433]
98,0.15510866045951843,0.1,-0.07755433,[ 0.1        -0.07755433]
99,0.1509895771741867,0.1,-0.075494789,[ 0.1        -0.07549479]
100,0.14370197057724,0.1,-0.071850985,[ 0.1        -0.07185099]
101,0.1399245709180832,0.1,-0.069962285,[ 0.1        -0.06996229]
102,0.12664081156253815,0.1,-0.063320406,[ 0.1        -0.06332041]
103,0.12183839082717896,0.1,-0.060919195,[ 0.1       -0.0609192]
104,0.11784297227859497,0.1,-0.058921486,[ 0.1        -0.05892149]
105,0.1123315691947937,0.1,-0.056165785,[ 0.1        -0.05616578]
106,0.11045308411121368,0.1,-0.055226542,[ 0.1        -0.05522654]
107,0.11045308411121368,0.1,-0.055226542,[ 0.1        -0.05522654]
108,0.10940773785114288,0.1,-0.054703869,[ 0.1        -0.05470387]
109,0.10969465970993042,0.1,-0.05484733,[ 0.1        -0.05484733]
110,0.10937266051769257,0.1,-0.05468633,[ 0.1        -0.05468633]
111,0.1085873395204544,0.1,-0.05429367,[ 0.1        -0.05429367]
112,0.10413743555545807,0.1,-0.052068718,[ 0.1        -0.05206872]
113,0.10721839964389801,0.1,-0.0536092,[ 0.1       -0.0536092]
114,0.11122487485408783,0.1,-0.055612437,[ 0.1        -0.05561244]
115,0.11367486417293549,0.1,-0.056837432,[ 0.1        -0.05683743]
116,0.1153901070356369,0.1,-0.057695054,[ 0.1        -0.05769505]
117,0.11779479682445526,0.1,-0.058897398,[ 0.1       -0.0588974]
118,0.12127843499183655,0.1,-0.060639217,[ 0.1        -0.06063922]
119,0.12499690055847168,0.1,-0.06249845,[ 0.1        -0.06249845]
120,0.13150005042552948,0.1,-0.065750025,[ 0.1        -0.06575003]
121,0.1416866034269333,0.1,-0.070843302,[ 0.1       -0.0708433]
122,0.1416866034269333,0.1,-0.070843302,[ 0.1       -0.0708433]
123,0.15007245540618896,0.1,-0.075036228,[ 0.1        -0.07503623]
124,0.15940406918525696,0.1,-0.079702035,[ 0.1        -0.07970203]
125,0.16875185072422028,0.1,-0.084375925,[ 0.1        -0.08437593]
126,0.1725931316614151,0.1,-0.086296566,[ 0.1        -0.08629657]
127,0.1759338080883026,0.1,-0.087966904,[ 0.1       -0.0879669]
128,0.1759338080883026,0.1,-0.087966904,[ 0.1       -0.0879669]
129,0.18790853023529053,0.1,-0.093954265,[ 0.1        -0.09395427]
130,0.18790853023529053,0.1,-0.093954265,[ 0.1        -0.09395427]
131,0.1981666088104248,0.1,-0.099083304,[ 0.1       -0.0990833]
132,0.1981666088104248,0.1,-0.099083304,[ 0.1       -0.0990833]
133,0.20387056469917297,0.1,-0.101935282,[ 0.1        -0.10193528]
134,0.20433413982391357,0.1,-0.10216707,[ 0.1        -0.10216707]
135,0.20433413982391357,0.1,-0.10216707,[ 0.1        -0.10216707]
136,0.21307455003261566,0.1,-0.106537275,[ 0.1        -0.10653728]
137,0.21542510390281677,0.1,-0.107712552,[ 0.1        -0.10771255]
138,0.21542510390281677,0.1,-0.107712552,[ 0.1        -0.10771255]
139,0.220463365316391,0.1,-0.110231683,[ 0.1        -0.11023168]
140,0.2212933897972107,0.1,-0.110646695,[ 0.1        -0.11064669]
141,0.2212933897972107,0.1,-0.110646695,[ 0.1        -0.11064669]
142,0.22271759808063507,0.1,-0.111358799,[ 0.1       -0.1113588]
143,0.2248888611793518,0.1,-0.112444431,[ 0.1        -0.11244443]
144,0.23011666536331177,0.1,-0.115058333,[ 0.1        -0.11505833]
145,0.23559029400348663,0.1,-0.117795147,[ 0.1        -0.11779515]
146,0.23609556257724762,0.1,-0.118047781,[ 0.1        -0.11804778]
147,0.2374233901500702,0.1,-0.118711695,[ 0.1       -0.1187117]
148,0.2374233901500702,0.1,-0.118711695,[ 0.1       -0.1187117]
149,0.23581475019454956,0.1,-0.117907375,[ 0.1        -0.11790738]
150,0.23460127413272858,0.1,-0.117300637,[ 0.1        -0.11730064]
151,0.23512384295463562,0.1,-0.117561921,[ 0.1        -0.11756192]
152,0.23605775833129883,0.1,-0.118028879,[ 0.1        -0.11802888]
153,0.23939278721809387,0.1,-0.119696394,[ 0.1        -0.11969639]
154,0.23939278721809387,0.1,-0.119696394,[ 0.1        -0.11969639]
155,0.24114476144313812,0.1,-0.120572381,[ 0.1        -0.12057238]
156,0.24171920120716095,0.1,-0.120859601,[ 0.1       -0.1208596]
157,0.24171920120716095,0.1,-0.120859601,[ 0.1       -0.1208596]
158,0.2429872304201126,0.1,-0.121493615,[ 0.1        -0.12149362]
159,0.2429872304201126,0.1,-0.121493615,[ 0.1        -0.12149362]
160,0.24891015887260437,0.1,-0.124455079,[ 0.1        -0.12445508]
161,0.25735706090927124,0.1,-0.12867853,[ 0.1        -0.12867853]
162,0.26277199387550354,0.1,-0.131385997,[ 0.1      -0.131386]
163,0.26428312063217163,0.1,-0.13214156,[ 0.1        -0.13214156]
164,0.273377388715744,0.1,-0.136688694,[ 0.1        -0.13668869]
165,0.27594807744026184,0.1,-0.137974039,[ 0.1        -0.13797404]
166,0.279758483171463,0.1,-0.139879242,[ 0.1        -0.13987924]
167,0.279758483171463,0.1,-0.139879242,[ 0.1        -0.13987924]
168,0.2875361442565918,0.1,-0.143768072,[ 0.1        -0.14376807]
169,0.30199170112609863,0.1,-0.150995851,[ 0.1        -0.15099585]
170,0.3079012930393219,0.1,-0.153950647,[ 0.1        -0.15395065]
171,0.3135535717010498,0.1,-0.156776786,[ 0.1        -0.15677679]
172,0.3135535717010498,0.1,-0.156776786,[ 0.1        -0.15677679]
173,0.32605093717575073,0.1,-0.163025469,[ 0.1        -0.16302547]
174,0.3350287973880768,0.1,-0.167514399,[ 0.1       -0.1675144]
175,0.33843010663986206,0.1,-0.169215053,[ 0.1        -0.16921505]
176,0.34354010224342346,0.1,-0.171770051,[ 0.1        -0.17177005]
177,0.34825414419174194,0.1,-0.174127072,[ 0.1        -0.17412707]
178,0.35413071513175964,0.1,-0.177065358,[ 0.1        -0.17706536]
179,0.36315152049064636,0.1,-0.18157576,[ 0.1        -0.18157576]
180,0.3675879240036011,0.1,-0.183793962,[ 0.1        -0.18379396]
181,0.3686249256134033,0.1,-0.184312463,[ 0.1        -0.18431246]
182,0.3686249256134033,0.1,-0.184312463,[ 0.1        -0.18431246]
183,0.3695105016231537,0.1,-0.184755251,[ 0.1        -0.18475525]
184,0.36953654885292053,0.1,-0.184768274,[ 0.1        -0.18476827]
185,0.36982572078704834,0.1,-0.18491286,[ 0.1        -0.18491286]
186,0.3694865107536316,0.1,-0.184743255,[ 0.1        -0.18474326]
187,0.36764615774154663,0.1,-0.183823079,[ 0.1        -0.18382308]
188,0.36622175574302673,0.1,-0.183110878,[ 0.1        -0.18311088]
189,0.36250627040863037,0.1,-0.181253135,[ 0.1        -0.18125314]
190,0.36250627040863037,0.1,-0.181253135,[ 0.1        -0.18125314]
191,0.35891151428222656,0.1,-0.179455757,[ 0.1        -0.17945576]
192,0.3554255962371826,0.1,-0.177712798,[ 0.1       -0.1777128]
193,0.3478304147720337,0.1,-0.173915207,[ 0.1        -0.17391521]
194,0.34205907583236694,0.1,-0.171029538,[ 0.1        -0.17102954]
195,0.3401200771331787,0.1,-0.170060039,[ 0.1        -0.17006004]
196,0.3401200771331787,0.1,-0.170060039,[ 0.1        -0.17006004]
197,0.3206837773323059,0.1,-0.160341889,[ 0.1        -0.16034189]
198,0.3106854557991028,0.1,-0.155342728,[ 0.1        -0.15534273]
199,0.3083200454711914,0.1,-0.154160023,[ 0.1        -0.15416002]
200,0.29262909293174744,0.1,-0.146314546,[ 0.1        -0.14631455]
201,0.2829568386077881,0.1,-0.141478419,[ 0.1        -0.14147842]
202,0.26929548382759094,0.1,-0.134647742,[ 0.1        -0.13464774]
