Frame,Predicted Offset,Forward Speed,Turn Speed,
82,-0.435040891,0.04,0.21752044558525085,[0.04       0.21752045]
83,-0.44873482,0.04,0.2243674099445343,[0.04       0.22436741]
84,-0.456331551,0.04,0.22816577553749084,[0.04       0.22816578]
85,-0.465225637,0.04,0.23261281847953796,[0.04       0.23261282]
86,-0.465225637,0.04,0.23261281847953796,[0.04       0.23261282]
87,-0.481489003,0.04,0.24074450135231018,[0.04      0.2407445]
88,-0.491134584,0.04,0.24556729197502136,[0.04       0.24556729]
89,-0.491134584,0.04,0.24556729197502136,[0.04       0.24556729]
90,-0.511845767,0.04,0.2559228837490082,[0.04       0.25592288]
91,-0.531115651,0.04,0.26555782556533813,[0.04       0.26555783]
92,-0.531115651,0.04,0.26555782556533813,[0.04       0.26555783]
93,-0.531115651,0.04,0.26555782556533813,[0.04       0.26555783]
94,-0.545429587,0.04,0.2727147936820984,[0.04       0.27271479]
95,-0.548922718,0.04,0.2744613587856293,[0.04       0.27446136]
96,-0.551423728,0.04,0.27571186423301697,[0.04       0.27571186]
97,-0.551423728,0.04,0.27571186423301697,[0.04       0.27571186]
98,-0.548193753,0.04,0.27409687638282776,[0.04       0.27409688]
99,-0.5455212,0.04,0.2727605998516083,[0.04      0.2727606]
100,-0.5455212,0.04,0.2727605998516083,[0.04      0.2727606]
101,-0.533928335,0.04,0.2669641673564911,[0.04       0.26696417]
102,-0.533928335,0.04,0.2669641673564911,[0.04       0.26696417]
103,-0.518627524,0.04,0.25931376218795776,[0.04       0.25931376]
104,-0.514964461,0.04,0.25748223066329956,[0.04       0.25748223]
105,-0.514964461,0.04,0.25748223066329956,[0.04       0.25748223]
106,-0.510698855,0.04,0.25534942746162415,[0.04       0.25534943]
107,-0.509620011,0.04,0.25481000542640686,[0.04       0.25481001]
108,-0.509620011,0.04,0.25481000542640686,[0.04       0.25481001]
109,-0.505449891,0.04,0.25272494554519653,[0.04       0.25272495]
110,-0.50403744,0.04,0.2520187199115753,[0.04       0.25201872]
111,-0.50403744,0.04,0.2520187199115753,[0.04       0.25201872]
112,-0.501384199,0.04,0.25069209933280945,[0.04      0.2506921]
113,-0.500972807,0.04,0.2504864037036896,[0.04      0.2504864]
114,-0.500972807,0.04,0.2504864037036896,[0.04      0.2504864]
115,-0.499521136,0.04,0.24976056814193726,[0.04       0.24976057]
116,-0.499117672,0.04,0.24955883622169495,[0.04       0.24955884]
117,-0.499117672,0.04,0.24955883622169495,[0.04       0.24955884]
118,-0.497767985,0.04,0.24888399243354797,[0.04       0.24888399]
119,-0.497146606,0.04,0.24857330322265625,[0.04      0.2485733]
120,-0.496665955,0.04,0.24833297729492188,[0.04       0.24833298]
121,-0.495620012,0.04,0.2478100061416626,[0.04       0.24781001]
122,-0.495821834,0.04,0.24791091680526733,[0.04       0.24791092]
123,-0.495821834,0.04,0.24791091680526733,[0.04       0.24791092]
124,-0.495821834,0.04,0.24791091680526733,[0.04       0.24791092]
125,-0.495751441,0.04,0.24787572026252747,[0.04       0.24787572]
126,-0.495618165,0.04,0.24780908226966858,[0.04       0.24780908]
127,-0.497196257,0.04,0.2485981285572052,[0.04       0.24859813]
128,-0.497196257,0.04,0.2485981285572052,[0.04       0.24859813]
129,-0.497196257,0.04,0.2485981285572052,[0.04       0.24859813]
130,-0.49641782,0.04,0.2482089102268219,[0.04       0.24820891]
131,-0.496136844,0.04,0.2480684220790863,[0.04       0.24806842]
132,-0.497356415,0.04,0.24867820739746094,[0.04       0.24867821]
133,-0.497375309,0.04,0.24868765473365784,[0.04       0.24868765]
134,-0.497375309,0.04,0.24868765473365784,[0.04       0.24868765]
135,-0.496857524,0.04,0.24842876195907593,[0.04       0.24842876]
136,-0.49659276,0.04,0.24829638004302979,[0.04       0.24829638]
137,-0.49659276,0.04,0.24829638004302979,[0.04       0.24829638]
138,-0.496797621,0.04,0.2483988106250763,[0.04       0.24839881]
139,-0.496797621,0.04,0.2483988106250763,[0.04       0.24839881]
140,-0.496377945,0.04,0.24818897247314453,[0.04       0.24818897]
141,-0.496030748,0.04,0.2480153739452362,[0.04       0.24801537]
142,-0.49630338,0.04,0.24815168976783752,[0.04       0.24815169]
143,-0.49630338,0.04,0.24815168976783752,[0.04       0.24815169]
144,-0.495838642,0.04,0.24791932106018066,[0.04       0.24791932]
145,-0.495511949,0.04,0.2477559745311737,[0.04       0.24775597]
146,-0.495511949,0.04,0.2477559745311737,[0.04       0.24775597]
147,-0.494663298,0.04,0.2473316490650177,[0.04       0.24733165]
148,-0.494049013,0.04,0.2470245063304901,[0.04       0.24702451]
149,-0.494049013,0.04,0.2470245063304901,[0.04       0.24702451]
150,-0.492269397,0.04,0.2461346983909607,[0.04      0.2461347]
151,-0.492775261,0.04,0.24638763070106506,[0.04       0.24638763]
152,-0.492775261,0.04,0.24638763070106506,[0.04       0.24638763]
153,-0.48953706,0.04,0.24476853013038635,[0.04       0.24476853]
154,-0.489883482,0.04,0.24494174122810364,[0.04       0.24494174]
155,-0.489883482,0.04,0.24494174122810364,[0.04       0.24494174]
156,-0.487741947,0.04,0.24387097358703613,[0.04       0.24387097]
157,-0.487314701,0.04,0.24365735054016113,[0.04       0.24365735]
158,-0.487314701,0.04,0.24365735054016113,[0.04       0.24365735]
159,-0.485397458,0.04,0.24269872903823853,[0.04       0.24269873]
160,-0.484107673,0.04,0.2420538365840912,[0.04       0.24205384]
161,-0.482262075,0.04,0.2411310374736786,[0.04       0.24113104]
162,-0.482262075,0.04,0.2411310374736786,[0.04       0.24113104]
163,-0.480217874,0.04,0.2401089370250702,[0.04       0.24010894]
164,-0.479427278,0.04,0.2397136390209198,[0.04       0.23971364]
165,-0.47772342,0.04,0.23886170983314514,[0.04       0.23886171]
166,-0.47772342,0.04,0.23886170983314514,[0.04       0.23886171]
167,-0.476352751,0.04,0.2381763756275177,[0.04       0.23817638]
168,-0.475884616,0.04,0.23794230818748474,[0.04       0.23794231]
169,-0.474521756,0.04,0.2372608780860901,[0.04       0.23726088]
170,-0.474153519,0.04,0.2370767593383789,[0.04       0.23707676]
171,-0.474153519,0.04,0.2370767593383789,[0.04       0.23707676]
172,-0.472696245,0.04,0.23634812235832214,[0.04       0.23634812]
